"site","valOrMod","n","div","rmsesmp","div","Pctrmsesmp","div","biassmp","div","Pctbiassmp","rowEnd"
"\multirow{2}{*}{Model Construction Data}","&Validation&",793,"&",41.15,"&",35.925,"&",-2.256,"&",-0.01969,"\\"
"","&Calibration&",2271,"&",45.29,"&",37.038,"&",-1.512e-13,"&",-1.236e-15,"\\"
"\multirow{2}{*}{Kaibab Plateau, AZ}","&Validation&",25,"&",43.7,"&",31.28,"&",6.696,"&",4.792,"\\"
"","&Calibration&",87,"&",55.19,"&",41.75,"&",-1.013,"&",-0.7662,"\\"
"\multirow{2}{*}{Coconino NF, 4FRI, AZ}","&Validation&",448,"&",41.74,"&",33.76,"&",-0.2331,"&",-0.1886,"\\"
"","&Calibration&",1218,"&",43.84,"&",34.13,"&",-0.5147,"&",-0.4007,"\\"
"\multirow{2}{*}{Tonto NF, 4FRI, AZ}","&Validation&",272,"&",41.73,"&",41.34,"&",-5.202,"&",-5.153,"\\"
"","&Calibration&",847,"&",47.43,"&",41.66,"&",2.061,"&",1.81,"\\"
"\multirow{2}{*}{Apache-Sitgreaves NF, 4FRI, AZ, Phase 1}","&Validation&",27,"&",28.38,"&",30.36,"&",-4.203,"&",-4.496,"\\"
"","&Calibration&",73,"&",28.2,"&",26.13,"&",0.1613,"&",0.1494,"\\"
"\multirow{2}{*}{Southwest Jemez Mountains, NM}","&Validation&",21,"&",30.36,"&",32.23,"&",-15.41,"&",-16.36,"\\"
"","&Calibration&",46,"&",43.82,"&",37.22,"&",-22.66,"&",-19.25,"\\"
"Transferability Validation Data","&&",NA,"&",0,"&",0,"&",0,"&",0,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 2","&Validation&",96,"&",23.25,"&",32.71,"&",-3.497,"&",-4.921,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 3","&Validation&",150,"&",32.82,"&",36.66,"&",-10.94,"&",-12.22,"\\"
